# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = exp2d_pixelated_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = plum.data.R
# init = 2 (Default)
# random
#   seed = 1724050829
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rhalf,ell,x0,y0,paV.1,paV.2,bgdens,objdens
# Adaptation terminated
# Step size = 0.129627
# Diagonal elements of inverse mass matrix:
# 0.0162525, 1.16222, 0.122176, 0.101495, 1.16079, 0.445415, 0.0225654, 0.0644644
-526.317,0.971288,0.129627,3,7,0,529.054,1.95532,0.378906,0.211862,1.01065,0.712014,0.702165,0.00273038,0.465764
-527.187,0.448238,0.129627,4,15,0,531.037,1.78411,0.12697,0.306686,1.05772,0.996905,0.0786103,0.00211295,0.421806
-527.315,0.914848,0.129627,5,31,0,530.212,1.73198,0.263459,0.513809,0.781087,0.997485,0.0708723,0.00180614,0.716972
-528.84,0.999971,0.129627,5,31,0,530.635,1.8421,0.0587688,0.0503879,0.92046,-0.325532,0.945531,0.00226504,0.390746
-528.427,0.997099,0.129627,5,31,0,529.425,1.89185,0.11553,0.191134,0.853475,-0.265415,0.964134,0.00221723,0.403201
-529.33,0.97263,0.129627,5,31,0,532.56,2.11466,0.238139,0.453331,0.63555,0.999362,0.0357019,0.00167229,0.401132
-528.748,0.994633,0.129627,4,15,0,530.88,2.10764,0.271545,0.44031,0.669226,0.997208,0.0746762,0.00168815,0.39481
-528.307,0.631177,0.129627,5,31,0,532.791,1.56228,0.206195,-0.00285308,0.991179,0.886192,0.463319,0.00255722,0.705493
-528.611,0.957577,0.129627,5,31,0,534.88,1.61208,0.0838545,0.804595,0.896118,0.526511,0.850168,0.00205793,0.476705
-527.532,0.997405,0.129627,5,31,0,531.351,1.96405,0.447209,-0.338811,0.484069,0.768459,0.639899,0.00196519,0.581211
-529.01,0.986135,0.129627,4,15,0,533.275,1.98043,0.389946,-0.531638,0.606166,0.715242,0.698877,0.00187467,0.619508
-525.324,0.955014,0.129627,5,31,0,531.392,1.98331,0.382431,0.352516,0.748938,0.884301,0.466918,0.00237941,0.503123
-526.26,0.729308,0.129627,4,23,0,528.828,1.72372,0.316535,0.910814,1.07285,0.824514,0.565841,0.00182885,0.625051
-527.259,0.556436,0.129627,5,47,0,530.415,1.94226,0.124613,0.400835,0.666321,0.908311,0.418296,0.00203884,0.411898
-530.184,0.813029,0.129627,4,31,0,535.949,1.39202,0.17472,0.635688,0.554779,0.756874,0.653561,0.00194863,0.640327
-529.033,0.770206,0.129627,4,23,0,535.323,1.42296,0.16482,0.191668,0.345211,0.720658,0.693291,0.00207609,0.623569
-528.37,0.981156,0.129627,5,31,0,533.209,1.65277,0.134873,0.318973,0.856063,0.818489,-0.574522,0.00190533,0.48092
-527.422,0.941648,0.129627,4,31,0,530.771,1.70636,0.0770297,0.0966629,0.837308,0.161246,-0.986914,0.00203733,0.46961
-527.878,0.991102,0.129627,4,15,0,529.127,1.70301,0.0330532,-0.042158,0.637651,-0.748469,-0.66317,0.00208786,0.4841
-528.331,0.99799,0.129627,5,31,0,531.847,1.60287,0.0370021,0.471071,0.950143,-0.839538,0.543301,0.00206803,0.480804
-524.855,0.99733,0.129627,5,31,0,529.606,1.84396,0.29255,0.151971,0.850503,0.764933,0.64411,0.00212768,0.654817
-525.168,0.923062,0.129627,5,31,0,528.919,1.49665,0.136158,0.208764,0.812263,0.789799,0.613366,0.00193262,0.686466
-526.045,0.684322,0.129627,3,15,0,527.936,1.51656,0.17729,0.392763,0.833768,0.827709,0.561157,0.00213415,0.588689
-524.86,0.801452,0.129627,4,31,0,530.263,1.9608,0.312277,-0.324137,0.490305,0.924339,0.381572,0.00211981,0.491617
-524.48,0.326158,0.129627,4,31,0,527.862,1.95628,0.353065,-0.158043,0.654891,0.875425,0.483354,0.00201064,0.554975
-524.8,0.813579,0.129627,4,31,0,526.688,1.97621,0.368218,0.111724,1.03048,0.868863,0.495053,0.0019481,0.542758
-530.193,0.93663,0.129627,4,15,0,534.911,1.79457,0.197982,0.691316,0.00338641,0.99186,0.127334,0.00219179,0.473568
-531.205,0.996564,0.129627,4,31,0,533.522,1.96249,0.38181,-0.039611,1.65327,0.877452,0.479664,0.00193294,0.642425
-527.981,0.926823,0.129627,4,31,0,535.227,1.73268,0.323678,-0.0645662,1.226,0.6146,0.788839,0.0018643,0.716684
-528.591,0.892447,0.129627,5,47,0,531.863,1.98001,0.251133,0.716546,0.286492,0.863136,0.504972,0.00197319,0.438933
-528.281,0.987232,0.129627,5,31,0,532.572,2.26471,0.398864,-0.414921,0.536297,0.990417,0.13811,0.00170267,0.410086
-528.474,0.831502,0.129627,5,31,0,531.535,2.42333,0.445767,-0.341428,0.301755,0.711927,0.702254,0.0019366,0.396522
-526.816,0.706842,0.129627,5,31,0,532.526,2.06633,0.311436,0.613524,0.759954,0.915817,0.401596,0.00175881,0.378882
-531.717,0.927672,0.129627,4,15,0,534.342,2.24615,0.261458,0.967199,1.24346,0.999946,0.010429,0.00158112,0.322466
-528.883,0.986783,0.129627,4,15,0,533.244,2.23341,0.269493,0.837637,1.10511,0.916619,0.399763,0.00150276,0.373475
-527.143,0.930213,0.129627,3,15,0,534.44,2.16259,0.341093,0.669731,0.863246,0.986659,0.162799,0.00200287,0.409736
-528.754,0.98771,0.129627,5,31,0,531.612,1.4439,0.0810446,0.140799,0.373922,0.242979,0.970032,0.0020102,0.665352
