# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = plummer2d_angle_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = plum.data.R
# init = 2 (Default)
# random
#   seed = 2176169100
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rhalf,ell,x0,y0,paV.1,paV.2,norm
# Adaptation terminated
# Step size = 0.196356
# Diagonal elements of inverse mass matrix:
# 0.0149357, 0.353937, 0.0203416, 0.0262842, 0.152704, 0.288605
-411.261,0.999046,0.196356,4,15,0,415.966,1.63979,0.0583865,-0.334124,-0.178504,-0.897836,-0.440329,0.125719
-416.821,0.94773,0.196356,5,31,0,418.518,1.54585,0.0029023,-0.361942,-0.162816,0.789226,-0.614103,0.133591
-415.182,0.973826,0.196356,5,63,0,422.374,1.7615,0.225543,-0.510969,-0.336099,-0.0200034,0.9998,0.13246
-411.839,0.977188,0.196356,4,15,0,418.985,1.75953,0.179623,-0.128701,-0.309394,0.919709,0.392601,0.125327
-410.314,0.988826,0.196356,4,15,0,414.443,1.74697,0.186088,-0.14526,-0.0288298,0.446395,0.894836,0.128145
-406.541,0.994465,0.196356,4,15,0,412.722,1.78118,0.299016,-0.187621,-0.192106,0.443375,0.896336,0.143128
-406.099,0.957786,0.196356,4,15,0,410.55,1.7112,0.287689,-0.212785,-0.22992,0.627892,0.7783,0.152608
-407.397,0.954648,0.196356,5,31,0,408.273,2.07445,0.317817,-0.157105,-0.163531,0.734135,0.679003,0.108429
-405.232,1,0.196356,4,15,0,408.04,2.11167,0.416478,-0.191383,-0.22348,0.475996,0.879447,0.122332
-404.873,0.985539,0.196356,4,15,0,406.061,1.97354,0.38251,-0.212527,-0.100318,0.432464,0.901651,0.132351
-407.596,0.885807,0.196356,4,15,0,408.555,1.92443,0.395788,-0.333538,-0.494344,0.402599,0.915377,0.142251
-410.378,0.967755,0.196356,4,15,0,413.73,2.65922,0.506867,-0.424422,-0.399803,0.410986,0.911642,0.0912806
-408.618,0.886382,0.196356,4,15,0,416.366,1.79644,0.223105,-0.233561,-0.373364,0.196553,0.980493,0.126959
-406.339,0.962533,0.196356,4,15,0,410.32,1.96686,0.312499,-0.221178,-0.189501,0.305005,0.952351,0.119682
-405.634,0.964934,0.196356,3,11,0,407.852,2.05964,0.310327,-0.131646,-0.235858,0.553463,0.832874,0.108799
-405.731,0.964436,0.196356,3,15,0,408.164,2.14106,0.355907,-0.321745,-0.306368,0.336038,0.941848,0.107807
-407.145,0.684176,0.196356,3,15,0,409.391,1.80827,0.39356,-0.296465,-0.415734,0.574163,0.818741,0.160523
-407.839,0.963346,0.196356,4,31,0,408.87,1.90646,0.207855,-0.264578,-0.339719,0.240129,0.970741,0.110557
-408.263,0.992246,0.196356,3,15,0,410.086,1.83851,0.173976,-0.230781,-0.451698,0.312295,0.949985,0.114006
-407.709,0.969694,0.196356,4,15,0,410.219,1.80328,0.369147,-0.26324,-0.0598117,0.65204,0.758185,0.155167
-407.117,1,0.196356,4,15,0,409.374,2.27077,0.328049,-0.251086,-0.134808,0.394421,0.91893,0.0918684
-407.222,0.999362,0.196356,4,15,0,409.717,1.66402,0.234756,-0.175299,-0.338224,0.342536,0.939505,0.150221
-406.012,0.989991,0.196356,5,47,0,408.706,2.34373,0.433512,-0.295728,-0.131465,0.415034,0.909806,0.102293
-406.218,0.865613,0.196356,4,15,0,407.566,2.21181,0.461034,-0.26816,-0.0751046,0.496227,0.868193,0.120724
-406.14,0.997356,0.196356,4,15,0,407.77,2.14027,0.372636,-0.175962,-0.0222422,0.440771,0.89762,0.110763
-408.721,0.901273,0.196356,3,7,0,410.054,2.09596,0.334912,-0.210927,-0.0470975,0.143825,0.989603,0.108945
-409.509,0.984165,0.196356,4,31,0,412.371,2.16987,0.206264,-0.337843,-0.0939777,0.55416,0.83241,0.0851738
-409.418,0.965525,0.196356,4,15,0,413.249,1.86963,0.229829,-0.380419,0.0250792,0.627034,0.778992,0.118237
-404.729,0.516664,0.196356,4,15,0,410.014,1.8834,0.309872,-0.347202,-0.212596,0.448844,0.89361,0.130028
-404.556,0.624976,0.196356,3,15,0,406.422,1.89523,0.299492,-0.326119,-0.262176,0.461107,0.887345,0.126507
-405.129,0.753428,0.196356,4,15,0,406.398,2.12466,0.407075,-0.180393,-0.138022,0.461591,0.887093,0.118924
-406.06,0.989866,0.196356,4,15,0,406.959,1.83906,0.297139,-0.167216,-0.0448519,0.495849,0.868409,0.133903
-407.834,0.938939,0.196356,4,15,0,410.934,1.7024,0.188785,-0.215594,-0.297792,0.172115,0.985077,0.135391
-407.685,0.995875,0.196356,4,31,0,410.151,1.89446,0.337245,-0.457823,-0.34328,0.702713,0.711474,0.133821
-406.671,0.991349,0.196356,4,15,0,410.288,2.24485,0.355685,-0.359226,-0.297064,0.594336,0.804217,0.0980336
-406.333,0.990708,0.196356,4,15,0,408.951,1.96366,0.416491,-0.161611,0.00208103,0.402857,0.915263,0.141471
-407.566,0.91903,0.196356,4,15,0,409.023,1.87835,0.402147,-0.289487,-0.516126,0.338068,0.941122,0.150905
-409.282,0.991412,0.196356,4,23,0,412.584,2.02631,0.28024,-0.0679033,0.0927586,0.522672,0.852534,0.107708
-409.022,0.972792,0.196356,4,15,0,414.099,2.19633,0.22834,-0.277958,-0.31523,0.544619,0.838683,0.0855126
-408.446,0.996256,0.196356,4,15,0,411.759,1.80096,0.26418,-0.178568,-0.109121,0.442868,0.896587,0.133374
-406.842,0.993797,0.196356,4,15,0,409.432,1.8936,0.332741,-0.279472,-0.264299,0.662429,0.749125,0.13304
-406.449,0.999004,0.196356,3,7,0,407.073,1.90009,0.344615,-0.258597,-0.270071,0.643295,0.765619,0.134526
-408.835,0.96943,0.196356,3,7,0,409.419,2.04078,0.230635,-0.357316,-0.370873,0.649726,0.760168,0.0993401
-406.206,0.996414,0.196356,3,15,0,411.672,1.8936,0.30794,-0.199433,-0.11879,0.470788,0.882246,0.128271
-405.632,0.609685,0.196356,3,15,0,407.644,1.95801,0.349737,-0.141924,-0.121751,0.415823,0.909445,0.127683
-407.28,0.870837,0.196356,4,15,0,409.905,1.90055,0.328905,-0.395561,-0.113083,0.672146,0.740418,0.131312
-405.877,0.86429,0.196356,3,7,0,407.052,1.88119,0.32804,-0.392137,-0.111135,0.515797,0.856711,0.133857
-406.329,0.917472,0.196356,3,15,0,409.179,1.818,0.246811,-0.151557,-0.426262,0.48944,0.872037,0.127866
-405.467,0.992536,0.196356,4,15,0,407.226,1.85492,0.384784,-0.384173,-0.337513,0.483835,0.875159,0.150373
-408.501,0.898286,0.196356,4,15,0,409.642,2.00095,0.195161,-0.0320524,-0.226322,0.58419,0.811617,0.0987799
-411.852,0.827611,0.196356,2,7,0,415.252,2.10491,0.121885,-0.0952893,-0.277687,0.645885,0.763435,0.0818146
-411.169,0.996826,0.196356,3,15,0,413.331,2.03549,0.12317,-0.0840219,-0.282058,0.655059,0.755578,0.0876187
-412.386,0.994966,0.196356,4,23,0,416.483,1.59621,0.401644,-0.240428,-0.262904,0.536744,0.843745,0.20879
-414.807,1,0.196356,4,15,0,415.621,1.92717,0.128816,-0.150556,-0.145344,0.454405,0.890795,0.0983782
-414.658,0.999542,0.196356,4,15,0,417.526,1.55056,0.321448,-0.344807,-0.380934,0.728337,0.685219,0.195114
-415.142,0.943412,0.196356,3,15,0,424.425,1.63192,0.386497,-0.353863,-0.455193,0.71248,0.701693,0.194822
-413.108,0.989954,0.196356,4,15,0,418.465,2.30815,0.248316,-0.251124,-0.500086,0.396994,0.917821,0.079485
-408.132,0.983197,0.196356,4,31,0,416.837,2.06545,0.47801,-0.475537,-0.29634,0.530264,0.847833,0.142942
-407.28,0.984157,0.196356,3,15,0,410.178,2.11222,0.31986,-0.403315,-0.176595,0.396946,0.917842,0.104899
-407.355,0.791569,0.196356,3,15,0,410.043,2.01977,0.437115,-0.333658,-0.152711,0.458638,0.888623,0.13862
-406.784,0.974146,0.196356,4,31,0,409.35,2.30005,0.378895,-0.224759,-0.208199,0.465792,0.884894,0.0968748
-407.461,0.99403,0.196356,4,15,0,408.554,2.35546,0.431972,-0.126863,-0.134293,0.526684,0.850061,0.101002
-408.246,0.963385,0.196356,4,23,0,409.989,1.63435,0.325002,-0.404958,-0.391348,0.376402,0.926456,0.176546
-407.451,0.990326,0.196356,4,15,0,409.735,2.09082,0.320046,-0.0404909,-0.10221,0.685425,0.728143,0.107087
-406.839,1,0.196356,4,31,0,409.676,1.77854,0.341012,-0.062586,-0.130793,0.332234,0.943197,0.152703
-406.991,0.990678,0.196356,4,15,0,408.535,1.77778,0.375534,-0.140534,-0.136448,0.653757,0.756705,0.161282
-410.487,0.987512,0.196356,4,15,0,412.888,1.60031,0.127363,-0.169084,0.0117654,0.295427,0.955365,0.142432
-410.467,0.992782,0.196356,4,15,0,414.206,1.41799,0.142631,-0.336343,-0.375088,0.555164,0.831741,0.184645
-409.283,0.979704,0.196356,4,15,0,414.206,1.96495,0.212172,-0.12761,-0.418396,0.253866,0.967239,0.104644
-411.695,0.978263,0.196356,3,7,0,413.658,1.92444,0.377442,-0.227561,-0.255331,0.843357,0.537354,0.138058
-417.058,0.999114,0.196356,5,63,0,418.717,1.69579,0.00382611,-0.303539,-0.411283,-0.700297,0.713852,0.111114
-415.044,1,0.196356,5,31,0,418.247,1.55464,0.0027064,-0.161807,-0.17894,0.0964895,-0.995334,0.132059
-414.243,0.873079,0.196356,5,55,0,418.947,1.6239,0.0539953,-0.0323297,-0.144559,-0.039986,0.9992,0.127596
-414.856,0.978577,0.196356,4,31,0,420.263,1.50583,0.0418184,-0.456588,-0.317946,0.784421,0.620229,0.146505
-417.804,0.988897,0.196356,4,15,0,419.564,1.83365,0.0597103,-0.00623295,-0.111564,0.72895,0.684567,0.100683
-411.699,0.997384,0.196356,4,15,0,418.649,1.66333,0.344994,-0.176337,-0.295129,0.729679,0.68379,0.175651
-410.346,0.979274,0.196356,4,31,0,417.544,1.55875,0.0953867,-0.302044,-0.373914,0.352677,0.935745,0.144821
-405.972,0.980235,0.196356,4,23,0,414.678,1.90962,0.393333,-0.203727,-0.0583139,0.436516,0.899697,0.143882
-407.778,0.934527,0.196356,4,15,0,409.174,1.96777,0.271134,-0.0586551,-0.0735995,0.262789,0.964853,0.112785
-405.494,0.98254,0.196356,3,7,0,408.18,1.91618,0.356929,-0.116929,-0.0587972,0.550121,0.835085,0.134809
-406.143,0.738112,0.196356,4,31,0,408.099,1.99554,0.382412,-0.153252,-0.0133506,0.327805,0.944746,0.129429
-408.522,0.740177,0.196356,4,15,0,409.273,2.19632,0.372587,0.0821891,-0.0199153,0.428898,0.903353,0.105173
-409.384,0.904146,0.196356,4,15,0,412.171,2.46789,0.484899,0.0448522,0.0282988,0.568106,0.822955,0.101462
-408.597,0.751651,0.196356,4,15,0,411.263,2.5516,0.450394,-0.0477013,-0.112231,0.480031,0.877252,0.0889558
-407.209,0.716871,0.196356,3,15,0,410.62,2.38362,0.41894,-0.187945,-0.0952272,0.523911,0.851773,0.0964171
-406.326,0.953178,0.196356,5,31,0,409.655,1.84824,0.289574,-0.231484,-0.19519,0.231777,0.972769,0.131164
-405.508,0.866667,0.196356,3,7,0,409.145,1.90356,0.31537,-0.113008,-0.233777,0.600032,0.799976,0.12831
-406.657,0.936212,0.196356,4,15,0,407.812,2.03538,0.35429,-0.255958,-0.371783,0.699992,0.714151,0.118993
-407.617,0.804451,0.196356,4,31,0,409.98,2.25222,0.394427,-0.17967,-0.315396,0.272679,0.962105,0.103624
-408.792,0.999504,0.196356,4,15,0,410.797,2.10821,0.397759,-0.4125,-0.532639,0.638703,0.769454,0.118919
-406.674,0.990243,0.196356,3,7,0,410.34,1.96836,0.319338,-0.315966,-0.425553,0.478831,0.877907,0.120701
-406.64,0.712614,0.196356,3,11,0,410.629,1.99126,0.294622,-0.126455,-0.309084,0.284891,0.95856,0.113808
-412.289,0.84551,0.196356,4,15,0,414.826,2.12966,0.250989,-0.249447,-0.19109,-0.110564,0.993869,0.0937005
-406.043,0.990847,0.196356,3,7,0,413.181,1.97554,0.237982,-0.274555,-0.322208,0.513706,0.857967,0.107032
-406.917,0.967085,0.196356,4,15,0,408.681,1.71591,0.191465,-0.373815,-0.388335,0.4155,0.909593,0.133709
-407.469,0.856705,0.196356,4,15,0,409.864,1.64684,0.184376,-0.355337,-0.182164,0.625098,0.780546,0.1439
-405.691,0.749634,0.196356,4,15,0,408.522,1.76168,0.255228,-0.359914,-0.249681,0.379845,0.92505,0.137713
-406.095,0.961477,0.196356,4,15,0,408.886,2.25514,0.394329,-0.270859,-0.413308,0.395493,0.918469,0.103339
-406.808,0.985692,0.196356,4,31,0,409.801,2.39975,0.4242,-0.207216,-0.0910782,0.351158,0.936316,0.0959944
-406.328,0.971815,0.196356,3,7,0,407.659,2.40084,0.408594,-0.229671,-0.113767,0.426983,0.90426,0.0933766
-407.359,0.89261,0.196356,4,15,0,408.317,2.29133,0.506057,-0.147154,-0.0636946,0.41216,0.911112,0.122744
-407.542,0.90904,0.196356,4,15,0,410.548,1.7078,0.175075,-0.254873,-0.45071,0.607162,0.794578,0.132301
-409.958,0.861432,0.196356,4,15,0,411.142,1.62401,0.106429,-0.409341,-0.245165,0.140401,0.990095,0.135065
-408.446,0.982125,0.196356,4,31,0,411.755,1.78197,0.376244,-0.0177612,-0.204757,0.616101,0.787667,0.160708
-412.26,0.999743,0.196356,4,15,0,415.343,1.81314,0.157176,-0.158919,-0.0535011,0.511732,0.859145,0.114882
