# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = regression1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = regr1.data.R
# init = 2 (Default)
# random
#   seed = 2172945814
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.277341
# Diagonal elements of inverse mass matrix:
# 0.000980401, 3.72461e-05, 0.87569
38.8101,1,0.277341,3,7,0,-37.6086,4.97935,10.0008,0.0383988
39.4357,0.993095,0.277341,3,15,0,-38.7573,4.99061,10.0028,0.0224491
39.0531,0.724631,0.277341,3,11,0,-37.1697,5.00745,9.99899,0.00880032
38.837,0.658003,0.277341,3,7,0,-37.5951,5.00952,9.99791,0.00902118
38.2726,0.863325,0.277341,3,15,0,-35.911,4.99231,9.99975,0.00927136
37.5592,1,0.277341,3,7,0,-36.8525,4.97546,10.0019,0.0755274
38.0186,1,0.277341,2,3,0,-37.4574,4.98049,10.0022,0.0679319
38.934,1,0.277341,3,7,0,-37.8779,4.99328,10.0036,0.0176048
38.828,0.999077,0.277341,3,15,0,-38.3684,4.99993,9.99791,0.0487653
37.6861,0.92183,0.277341,3,15,0,-35.4529,4.98207,10.0037,0.00424032
38.2505,0.908517,0.277341,3,7,0,-36.9959,4.98075,10.003,0.00847015
37.6515,0.978257,0.277341,4,15,0,-37.0255,4.99232,10.0004,0.00359616
37.7259,0.997252,0.277341,3,7,0,-37.1973,5.01056,9.99922,0.00226969
37.0457,0.980474,0.277341,3,7,0,-36.9426,5.01981,9.99711,0.00166736
37.0637,0.798068,0.277341,3,7,0,-35.8775,5.01114,9.9965,0.00334181
34.2032,0.483772,0.277341,3,11,0,-32.0138,5.02137,10.0021,0.00387868
38.3935,1,0.277341,2,7,0,-34.737,5.01211,10,0.0058301
35.7991,0.991633,0.277341,3,15,0,-34.9276,5.00717,9.99899,0.000333316
35.7991,0.29042,0.277341,2,3,0,-31.6643,5.00717,9.99899,0.000333316
35.5053,0.946185,0.277341,3,7,0,-35.0073,5.00666,10.0007,0.000277006
34.3494,0.734225,0.277341,3,7,0,-33.6194,5.00207,9.99721,0.000414455
36.3136,0.995377,0.277341,3,15,0,-34.0826,5.01396,10.0006,0.00124063
