# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=2102757686
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
-42.5683,0.993208,0.112382,4,31,0,44.586,5.56411,9.93596,1.00029
-41.2799,0.999691,0.19592,4,15,0,43.1551,5.3633,9.92933,0.984337
-42.7609,0.971698,0.344443,3,13,0,44.8067,5.22121,9.99125,1.06487
-42.128,0.766182,0.556401,2,7,0,47.13,5.1672,10.0134,0.888074
-42.9656,0.950525,0.514982,3,7,0,45.3971,4.89413,10.0154,0.816927
-40.4659,0.331349,0.777884,3,7,0,44.764,5.0523,9.98771,0.942749
-40.6273,0.99926,0.229154,3,7,0,40.928,5.07984,9.99127,0.978572
-39.8438,0.987843,0.392987,4,15,0,41.1195,5.22093,9.97872,0.931146
-39.848,0.995959,0.648821,3,7,0,39.9612,5.20871,9.98191,0.877674
-39.848,0.000260594,1.08531,1,3,0,42.4906,5.20871,9.98191,0.877674
-41.6781,0.992927,0.142338,4,15,0,42.6333,5.23487,9.95568,0.794377
-40.3949,0.997883,0.237119,3,15,0,42.6995,5.19509,9.99072,0.859092
-40.5364,0.993876,0.396904,3,15,0,42.0599,5.38148,9.93221,0.869591
-42.2827,0.828183,0.65275,4,19,0,42.8604,5.03383,10.0284,0.869161
-40.9817,0.986868,0.707263,3,7,0,42.444,5.41853,9.92374,0.95473
-40.9817,0.200646,1.13033,1,1,0,41.254,5.41853,9.92374,0.95473
-40.1861,0.998042,0.263635,4,15,0,41.7475,5.30258,9.9714,0.94224
-40.0533,0.999827,0.432997,3,15,0,40.3781,5.30279,9.94494,0.910121
-40.5011,0.793871,0.709274,2,7,0,42.4876,5.26153,9.98195,0.956105
-40.0885,0.99174,0.705497,3,7,0,40.5588,5.16956,9.96709,0.937654
-41.5989,0.134567,1.12227,3,9,0,42.0443,5.2611,9.95564,1.03725
-42.6475,0.996218,0.23526,4,19,0,44.1157,5.56792,9.9152,0.822254
-41.1495,0.985841,0.378569,3,7,0,43.4824,5.42385,9.93416,0.99724
-42.3645,0.854636,0.590916,2,3,0,42.8248,5.52733,9.9435,0.999531
-40.6599,0.969101,0.677155,4,15,0,43.9994,5.21587,9.95938,0.985827
-39.8517,1,1.00747,2,3,0,40.3833,5.28547,9.9649,0.938826
-39.8517,0.00184246,1.6003,1,1,0,39.9997,5.28547,9.9649,0.938826
-41.3874,0.990743,0.2628,4,23,0,41.8797,4.96994,10.0252,0.887034
-42.5176,0.974027,0.409845,3,7,0,43.3979,4.90844,10.0323,1.00529
-42.5176,0.392368,0.612305,2,3,0,46.4382,4.90844,10.0323,1.00529
-41.6585,1,0.249326,4,15,0,43.2096,4.93087,10.0175,0.850594
-40.3734,0.86955,0.39376,4,15,0,44.0414,5.30133,9.97724,0.891554
-40.0028,0.966572,0.464172,2,7,0,41.0237,5.31983,9.96666,0.923535
-40.2469,0.897416,0.675194,1,3,0,40.6147,5.33415,9.96885,0.887005
-43.9965,0.463201,0.841326,2,3,0,46.455,5.13422,9.95634,1.0892
-41.3904,0.98592,0.408937,2,7,0,46.7006,5.44767,9.95576,0.860794
-44.4914,0.408818,0.616514,3,11,0,47.2447,4.9719,9.96627,1.00315
-42.4403,1,0.269391,3,7,0,45.2757,5.08531,10.0138,1.0342
-40.8208,1,0.417493,3,7,0,43.1254,5.15125,9.96526,0.839107
-40.8208,0.615624,0.643878,1,1,0,41.7695,5.15125,9.96526,0.839107
-41.0327,0.934509,0.440397,3,15,0,44.2222,5.42478,9.96084,0.905915
-45.8324,0.63641,0.58927,2,7,0,46.6254,5.32819,9.9108,1.09997
-42.0397,0.98176,0.422734,3,7,0,46.7392,5.43145,9.96801,0.880112
-41.5819,1,0.621907,2,3,0,42.0537,5.28566,9.93229,0.966827
-40.7622,0.415628,0.946074,2,5,0,43.2278,5.04561,9.98916,0.968366
-40.3308,0.974342,0.432936,3,9,0,41.2862,5.24924,9.95349,0.848505
-42.6398,0.898394,0.623481,3,7,0,43.4744,5.05684,10.0091,1.05841
-43.6585,0.784191,0.766884,3,7,0,44.7406,4.88563,9.9977,0.84124
-41.9326,1,0.747601,2,3,0,43.9492,5.2069,10.0073,0.930885
-41.9326,0.333346,1.12417,1,3,0,43.49,5.2069,10.0073,0.930885
-40.2265,0.995844,0.444591,2,5,0,42.2589,5.04881,10.0005,0.916283
-39.9885,0.971719,0.662035,3,7,0,41.1408,5.10643,9.99239,0.926156
-39.9885,0.0586152,0.936246,1,1,0,41.1509,5.10643,9.99239,0.926156
-41.0562,0.954922,0.218676,4,15,0,42.3327,4.98932,9.99145,0.890585
-41.0054,0.997264,0.299807,2,7,0,41.9839,4.97099,9.99907,0.936456
-40.798,0.979615,0.445073,3,13,0,42.1109,5.26532,9.98194,0.840606
-40.9295,0.877308,0.636104,2,3,0,41.9712,5.13435,9.9706,0.827687
-39.9548,0.597927,0.743594,2,7,0,42.7964,5.35036,9.94634,0.87541
-39.8647,0.954688,0.507184,3,11,0,41.9222,5.28795,9.96829,0.871494
-39.8913,1,0.687251,2,7,0,40.0302,5.30516,9.94797,0.901605
-39.8913,0.384294,1.01244,3,11,0,41.9032,5.30516,9.94797,0.901605
-39.9093,0.992106,0.462129,2,7,0,40.1111,5.33511,9.94665,0.882236
-41.7185,0.650517,0.669564,3,11,0,42.8524,5.20912,10.0018,0.856297
-40.6988,1,0.508618,2,3,0,41.6624,5.20961,9.99181,0.853927
-41.9523,0.997911,0.745127,2,7,0,43.7772,5.60447,9.92103,0.907102
-41.9523,0.460311,1.08377,1,3,0,43.1348,5.60447,9.92103,0.907102
-41.8828,0.825357,0.579144,4,15,0,45.8654,4.994,10.0267,0.860234
-42.101,0.844973,0.610967,2,3,0,45.2601,4.94426,10.0138,0.82316
