# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = mixtures_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = mixtures.data.R
# init = 2 (Default)
# random
#   seed = 1979823306
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,sigma_outl,objfrac
# Adaptation terminated
# Step size = 0.277107
# Diagonal elements of inverse mass matrix:
# 0.000204157, 1.49667e-05, 0.00833937, 0.00254537, 0.017493
-322.691,0.997801,0.277107,4,15,0,324.694,5.01621,9.99697,94.9048,0.0989288,0.219355
-322.563,0.99409,0.277107,4,15,0,323.263,5.02135,9.99647,105.384,0.101445,0.206915
-323.033,0.944357,0.277107,4,15,0,323.424,5.01651,9.99608,91.6859,0.10547,0.191575
-323.159,0.827758,0.277107,4,15,0,326.1,5.01903,9.99784,103.974,0.102332,0.190825
-322.699,0.947959,0.277107,4,15,0,324.174,5.01229,9.99775,93.5662,0.0988857,0.211464
-323.333,0.915469,0.277107,4,15,0,324.413,5.02566,9.9947,101.4,0.108586,0.21515
-324.193,0.913852,0.277107,3,15,0,326.896,5.00293,10.0005,95.5673,0.0990398,0.217526
-324.124,0.988612,0.277107,4,15,0,326.454,5.0215,9.99583,104.343,0.095479,0.222938
-323.732,0.901807,0.277107,4,15,0,327.875,5.01633,9.99584,92.6391,0.108638,0.226518
-323.119,1,0.277107,4,15,0,323.802,5.01734,9.99758,95.5634,0.10825,0.226237
-323.118,0.998793,0.277107,4,15,0,323.969,5.00388,9.99969,104.096,0.10439,0.196493
-323.131,0.994417,0.277107,4,15,0,323.995,5.02264,9.99525,94.9304,0.0984831,0.211948
-322.953,0.972794,0.277107,4,15,0,325.052,5.01149,9.99807,104.987,0.108224,0.201238
-322.806,0.970499,0.277107,4,15,0,323.658,5.00855,9.9975,92.4922,0.100392,0.207071
-322.493,0.930774,0.277107,3,15,0,324.41,5.01084,9.99825,99.6821,0.106698,0.202089
-324.39,0.852906,0.277107,3,7,0,324.947,4.99734,10.0013,90.0627,0.104394,0.209976
